timestamp,action,src_ip,dst_ip,protocol,dst_port
2024-06-08 09:14:02,ACCEPT,192.168.1.20,172.217.16.14,TCP,443
2024-06-08 09:14:07,DROP,203.0.113.45,10.0.0.5,TCP,22
2024-06-08 09:14:15,ACCEPT,10.0.0.12,8.8.8.8,UDP,53
2024-06-08 09:14:23,REJECT,198.51.100.7,10.0.0.5,TCP,3389
2024-06-08 09:14:31,DROP,185.220.101.33,10.0.0.5,ICMP,0
2024-06-08 09:14:40,ACCEPT,192.168.1.35,140.82.121.4,TCP,443
2024-06-08 09:14:48,DROP,45.155.205.211,10.0.0.8,TCP,445
2024-06-08 09:14:55,ACCEPT,10.0.0.22,151.101.1.69,TCP,80
2024-06-08 09:15:03,REJECT,91.241.19.84,10.0.0.5,UDP,161
2024-06-08 09:15:12,DROP,193.169.255.78,10.0.0.5,TCP,23
2024-06-08 09:15:20,DROP,203.0.113.45,10.0.0.5,TCP,22
2024-06-08 09:15:28,DROP,203.0.113.45,10.0.0.5,TCP,22
2024-06-08 09:15:35,ACCEPT,10.0.0.15,142.250.180.78,TCP,443
2024-06-08 09:15:42,DROP,45.155.205.211,10.0.0.8,TCP,445
2024-06-08 09:15:50,REJECT,198.51.100.7,10.0.0.5,TCP,3389
2024-06-08 09:15:58,DROP,203.0.113.45,10.0.0.5,TCP,22
2024-06-08 09:16:05,ACCEPT,192.168.1.20,172.217.16.14,TCP,443
2024-06-08 09:16:13,DROP,185.220.101.33,10.0.0.5,TCP,22
2024-06-08 09:16:21,DROP,45.155.205.211,10.0.0.8,TCP,445
2024-06-08 09:16:30,DROP,203.0.113.45,10.0.0.5,TCP,22
